,Algeria,Bahrain,China,Comoros,Djibouti,Egypt,France,Germany,Great Britain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Mauritania,Morocco,Oman,Palestinian Authority,Qatar,Russia,Saudi Arabia,Somalia,Sudan,Syria,Tunisia,Turkey,United Arab Emirates,United States,Yemen
Algeria,0,2,2,0,0,6,368,9,16,4,1,0,2,0,2,0,1,1,0,0,2,4,5,0,0,0,12,8,10,65,0
Bahrain,2,0,31,0,0,20,22,23,119,9,3,3,12,10,8,3,0,1,5,0,8,9,36,0,0,1,7,17,17,320,0
China,2,31,0,0,0,195,2523,3430,6319,228,21,382,50,28,17,1,0,37,8,0,165,820,752,0,34,1,9,423,80,46399,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,6,20,195,0,0,0,174,445,468,95,22,34,49,59,41,16,0,2,29,0,156,88,1601,0,6,6,9,166,74,1262,36
France,368,22,2523,0,0,174,0,7314,8036,299,23,848,30,21,351,0,5,157,23,0,98,1412,402,0,6,33,808,651,96,15107,6
Germany,9,23,3430,0,0,445,7314,0,11980,561,29,1381,86,25,56,3,0,53,36,0,90,2434,566,0,26,19,23,872,78,23610,10
Great Britain,16,119,6319,0,0,468,8036,11980,0,600,93,1195,125,71,138,23,0,53,66,0,189,1489,889,2,36,15,44,1037,230,32464,8
Iran,4,9,228,0,0,95,299,561,600,0,30,35,14,18,17,3,0,1,23,0,46,108,175,0,5,4,10,289,27,2159,0
Iraq,1,3,21,0,0,22,23,29,93,30,0,0,13,4,2,3,0,0,5,0,3,1,24,0,3,3,1,17,8,96,5
Israel,0,3,382,0,0,34,848,1381,1195,35,0,0,15,3,12,0,0,39,2,1,8,289,50,0,2,1,2,190,6,4813,0
Jordan,2,12,50,0,0,49,30,86,125,14,13,15,0,16,23,3,0,1,10,0,25,11,135,0,1,2,2,15,40,336,7
Kuwait,0,10,28,0,0,59,21,25,71,18,4,3,16,0,12,1,0,1,8,0,17,3,27,0,3,1,0,17,15,185,1
Lebanon,2,8,17,0,0,41,351,56,138,17,2,12,23,12,0,1,0,4,9,0,28,15,62,0,0,11,3,26,21,510,0
Libya,0,3,1,0,0,16,0,3,23,3,3,0,3,1,1,0,0,0,1,0,1,0,4,0,2,0,0,0,4,10,0
Mauritania,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1,1,37,0,0,2,157,53,53,1,0,39,1,1,4,0,1,0,4,0,1,39,6,0,0,0,2,40,4,67,1
Oman,0,5,8,0,0,29,23,36,66,23,5,2,10,8,9,1,0,4,0,0,14,7,48,0,6,0,3,14,32,92,4
Palestinian Authority,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,2,8,165,0,0,156,98,90,189,46,3,8,25,17,28,1,0,1,14,0,0,22,87,0,1,2,15,39,32,693,4
Russia,4,9,820,0,0,88,1412,2434,1489,108,1,289,11,3,15,0,0,39,7,0,22,0,129,0,1,1,1,364,12,3443,0
Saudi Arabia,5,36,752,0,0,1601,402,566,889,175,24,50,135,27,62,4,0,6,48,0,87,129,0,0,62,11,117,325,76,2356,29
Somalia,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,34,0,0,6,6,26,36,5,3,2,1,3,0,2,0,0,6,0,1,1,62,0,0,1,0,5,2,39,8
Syria,0,1,1,0,0,6,33,19,15,4,3,1,2,1,11,0,0,0,0,0,2,1,11,0,1,0,5,8,4,39,2
Tunisia,12,7,9,0,0,9,808,23,44,10,1,2,2,0,3,0,0,2,3,0,15,1,117,0,0,5,0,11,16,159,0
Turkey,8,17,423,0,0,166,651,872,1037,289,17,190,15,17,26,0,0,40,14,0,39,364,325,0,5,8,11,0,31,2694,0
United Arab Emirates,10,17,80,0,0,74,96,78,230,27,8,6,40,15,21,4,0,4,32,0,32,12,76,0,2,4,16,31,0,606,5
United States,65,320,46399,0,0,1262,15107,23610,32464,2159,96,4813,336,185,510,10,0,67,92,0,693,3443,2356,0,39,39,159,2694,606,0,25
Yemen,0,0,0,0,0,36,6,10,8,0,5,0,7,1,0,0,0,1,4,0,4,0,29,0,8,2,0,0,5,25,0
Absolute #Papers,1694,1468,457307,0,0,13732,123016,184919,213737,51865,1522,21086,2991,1146,2172,204,13,895,1262,1,2185,45119,15183,7,593,393,3463,36268,4108,921417,254
